code,ingredient,measure,angel,babas_au_rhum,sweet_chocolate,buche_de_noel,cheesecake,rum_cheesecake,blender_cheesecake,one_bowl_chocolate,red_devils_food,sour_cream_fudge,hungarian_cream,crumb_and_nut,spiced_pound,strawberry_roll,savarin,banana_shortcake,strawberry_shortcake,sponge
ae,almond essence,teaspoon,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,0.5
bm,buttermilk,cup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bp,baking powder,teaspoon,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3,3,NA,0.75,NA,4,3,1
br,butter,cup,NA,0.25,1,NA,0.25,NA,NA,NA,NA,NA,NA,NA,1,NA,0.7,0.6,0.12,NA
bs,bananas,one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA
ca,cocoa,tablespoon,NA,NA,NA,NA,NA,NA,NA,10,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
cc,cottage cheese,pound,NA,NA,NA,NA,1.5,1.5,0.5,NA,NA,NA,NA,NA,NA,0.5,NA,NA,0.2,NA
ce,chocolate,ounce,NA,NA,4,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
ci,crushed ice,cup,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cs,crumbs,cup,NA,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
ct,cream of tartar,teaspoon,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dc,dried currants,tablespoon,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
eg,eggs,one,NA,1,4,4,6,2,NA,2,2,2,3,4,5,4,3,NA,1,4
ew,egg white,one,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ey,egg yolk,one,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fr,sifted flour,cup,1,1.75,2.5,1,0.25,NA,NA,2,1.75,2,3,NA,2,0.75,1.5,3,2,0.75
gn,gelatin,tablespoon,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hc,heavy cream,cup,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA
lj,lemon juice,tablespoon,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lr,lemon rind,teaspoon,NA,0.5,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
mk,milk,cup,NA,0.25,1,NA,NA,1,NA,0.7,1,NA,NA,1,NA,NA,0.25,1,0.5,NA
ng,nutmeg,teaspoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA
ns,nuts,cup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
rm,rum,ounce,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sa,soda,teaspoon,NA,NA,1,NA,NA,NA,NA,0.5,1.25,1,NA,NA,NA,NA,NA,NA,NA,NA
sc,sour cream ,cup,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA
sg,shortening,tablespoon,NA,NA,NA,NA,NA,NA,NA,10,0.5,0.3,NA,1,NA,NA,NA,NA,NA,NA
sr,granulated sugar,cup,1.5,0.25,2,1.3,1,1,NA,1.5,1.5,1.5,1.5,1,1.7,0.75,0.6,0.13,0.6,0.75
ss,strawberries,quart,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA
st,salt,teaspoon,0.25,NA,0.5,0.5,0.25,0.25,NA,0.25,1,1,1,NA,0.5,1,0.5,0.5,0.75,0.25
ve,vanilla extract,teaspoon,1,NA,1,1,NA,NA,NA,1,1,1,2,2,NA,1,NA,NA,NA,NA
wr,water,cup,NA,0.25,0.5,NA,NA,NA,0.5,0.5,NA,0.25,NA,NA,NA,NA,0.25,NA,NA,2
yt,yeast,ounce,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
zh,zwiebach,ounce,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
