code,ingredient,measure,cakes,value
ae,almond essence,teaspoon,angel,0.25
ae,almond essence,teaspoon,babas_au_rhum,NA
ae,almond essence,teaspoon,sweet_chocolate,NA
ae,almond essence,teaspoon,buche_de_noel,NA
ae,almond essence,teaspoon,cheesecake,NA
ae,almond essence,teaspoon,rum_cheesecake,NA
ae,almond essence,teaspoon,blender_cheesecake,NA
ae,almond essence,teaspoon,one_bowl_chocolate,NA
ae,almond essence,teaspoon,red_devils_food,NA
ae,almond essence,teaspoon,sour_cream_fudge,NA
ae,almond essence,teaspoon,hungarian_cream,1.5
ae,almond essence,teaspoon,crumb_and_nut,NA
ae,almond essence,teaspoon,spiced_pound,NA
ae,almond essence,teaspoon,strawberry_roll,NA
ae,almond essence,teaspoon,savarin,NA
ae,almond essence,teaspoon,banana_shortcake,NA
ae,almond essence,teaspoon,strawberry_shortcake,NA
ae,almond essence,teaspoon,sponge,0.5
bm,buttermilk,cup,angel,NA
bm,buttermilk,cup,babas_au_rhum,NA
bm,buttermilk,cup,sweet_chocolate,NA
bm,buttermilk,cup,buche_de_noel,NA
bm,buttermilk,cup,cheesecake,NA
bm,buttermilk,cup,rum_cheesecake,NA
bm,buttermilk,cup,blender_cheesecake,NA
bm,buttermilk,cup,one_bowl_chocolate,NA
bm,buttermilk,cup,red_devils_food,NA
bm,buttermilk,cup,sour_cream_fudge,NA
bm,buttermilk,cup,hungarian_cream,NA
bm,buttermilk,cup,crumb_and_nut,NA
bm,buttermilk,cup,spiced_pound,NA
bm,buttermilk,cup,strawberry_roll,NA
bm,buttermilk,cup,savarin,NA
bm,buttermilk,cup,banana_shortcake,NA
bm,buttermilk,cup,strawberry_shortcake,NA
bm,buttermilk,cup,sponge,NA
bp,baking powder,teaspoon,angel,NA
bp,baking powder,teaspoon,babas_au_rhum,NA
bp,baking powder,teaspoon,sweet_chocolate,NA
bp,baking powder,teaspoon,buche_de_noel,NA
bp,baking powder,teaspoon,cheesecake,NA
bp,baking powder,teaspoon,rum_cheesecake,NA
bp,baking powder,teaspoon,blender_cheesecake,NA
bp,baking powder,teaspoon,one_bowl_chocolate,2
bp,baking powder,teaspoon,red_devils_food,NA
bp,baking powder,teaspoon,sour_cream_fudge,NA
bp,baking powder,teaspoon,hungarian_cream,3
bp,baking powder,teaspoon,crumb_and_nut,3
bp,baking powder,teaspoon,spiced_pound,NA
bp,baking powder,teaspoon,strawberry_roll,0.75
bp,baking powder,teaspoon,savarin,NA
bp,baking powder,teaspoon,banana_shortcake,4
bp,baking powder,teaspoon,strawberry_shortcake,3
bp,baking powder,teaspoon,sponge,1
br,butter,cup,angel,NA
br,butter,cup,babas_au_rhum,0.25
br,butter,cup,sweet_chocolate,1
br,butter,cup,buche_de_noel,NA
br,butter,cup,cheesecake,0.25
br,butter,cup,rum_cheesecake,NA
br,butter,cup,blender_cheesecake,NA
br,butter,cup,one_bowl_chocolate,NA
br,butter,cup,red_devils_food,NA
br,butter,cup,sour_cream_fudge,NA
br,butter,cup,hungarian_cream,NA
br,butter,cup,crumb_and_nut,NA
br,butter,cup,spiced_pound,1
br,butter,cup,strawberry_roll,NA
br,butter,cup,savarin,0.7
br,butter,cup,banana_shortcake,0.6
br,butter,cup,strawberry_shortcake,0.12
br,butter,cup,sponge,NA
bs,bananas,one,angel,NA
bs,bananas,one,babas_au_rhum,NA
bs,bananas,one,sweet_chocolate,NA
bs,bananas,one,buche_de_noel,NA
bs,bananas,one,cheesecake,NA
bs,bananas,one,rum_cheesecake,NA
bs,bananas,one,blender_cheesecake,NA
bs,bananas,one,one_bowl_chocolate,NA
bs,bananas,one,red_devils_food,NA
bs,bananas,one,sour_cream_fudge,NA
bs,bananas,one,hungarian_cream,NA
bs,bananas,one,crumb_and_nut,NA
bs,bananas,one,spiced_pound,NA
bs,bananas,one,strawberry_roll,NA
bs,bananas,one,savarin,NA
bs,bananas,one,banana_shortcake,3
bs,bananas,one,strawberry_shortcake,NA
bs,bananas,one,sponge,NA
ca,cocoa,tablespoon,angel,NA
ca,cocoa,tablespoon,babas_au_rhum,NA
ca,cocoa,tablespoon,sweet_chocolate,NA
ca,cocoa,tablespoon,buche_de_noel,NA
ca,cocoa,tablespoon,cheesecake,NA
ca,cocoa,tablespoon,rum_cheesecake,NA
ca,cocoa,tablespoon,blender_cheesecake,NA
ca,cocoa,tablespoon,one_bowl_chocolate,10
ca,cocoa,tablespoon,red_devils_food,0.3
ca,cocoa,tablespoon,sour_cream_fudge,NA
ca,cocoa,tablespoon,hungarian_cream,NA
ca,cocoa,tablespoon,crumb_and_nut,NA
ca,cocoa,tablespoon,spiced_pound,NA
ca,cocoa,tablespoon,strawberry_roll,NA
ca,cocoa,tablespoon,savarin,NA
ca,cocoa,tablespoon,banana_shortcake,NA
ca,cocoa,tablespoon,strawberry_shortcake,NA
ca,cocoa,tablespoon,sponge,NA
cc,cottage cheese,pound,angel,NA
cc,cottage cheese,pound,babas_au_rhum,NA
cc,cottage cheese,pound,sweet_chocolate,NA
cc,cottage cheese,pound,buche_de_noel,NA
cc,cottage cheese,pound,cheesecake,1.5
cc,cottage cheese,pound,rum_cheesecake,1.5
cc,cottage cheese,pound,blender_cheesecake,0.5
cc,cottage cheese,pound,one_bowl_chocolate,NA
cc,cottage cheese,pound,red_devils_food,NA
cc,cottage cheese,pound,sour_cream_fudge,NA
cc,cottage cheese,pound,hungarian_cream,NA
cc,cottage cheese,pound,crumb_and_nut,NA
cc,cottage cheese,pound,spiced_pound,NA
cc,cottage cheese,pound,strawberry_roll,0.5
cc,cottage cheese,pound,savarin,NA
cc,cottage cheese,pound,banana_shortcake,NA
cc,cottage cheese,pound,strawberry_shortcake,0.2
cc,cottage cheese,pound,sponge,NA
ce,chocolate,ounce,angel,NA
ce,chocolate,ounce,babas_au_rhum,NA
ce,chocolate,ounce,sweet_chocolate,4
ce,chocolate,ounce,buche_de_noel,NA
ce,chocolate,ounce,cheesecake,NA
ce,chocolate,ounce,rum_cheesecake,NA
ce,chocolate,ounce,blender_cheesecake,NA
ce,chocolate,ounce,one_bowl_chocolate,NA
ce,chocolate,ounce,red_devils_food,NA
ce,chocolate,ounce,sour_cream_fudge,3
ce,chocolate,ounce,hungarian_cream,NA
ce,chocolate,ounce,crumb_and_nut,NA
ce,chocolate,ounce,spiced_pound,NA
ce,chocolate,ounce,strawberry_roll,NA
ce,chocolate,ounce,savarin,NA
ce,chocolate,ounce,banana_shortcake,NA
ce,chocolate,ounce,strawberry_shortcake,NA
ce,chocolate,ounce,sponge,NA
ci,crushed ice,cup,angel,NA
ci,crushed ice,cup,babas_au_rhum,NA
ci,crushed ice,cup,sweet_chocolate,NA
ci,crushed ice,cup,buche_de_noel,NA
ci,crushed ice,cup,cheesecake,NA
ci,crushed ice,cup,rum_cheesecake,NA
ci,crushed ice,cup,blender_cheesecake,1
ci,crushed ice,cup,one_bowl_chocolate,NA
ci,crushed ice,cup,red_devils_food,NA
ci,crushed ice,cup,sour_cream_fudge,NA
ci,crushed ice,cup,hungarian_cream,NA
ci,crushed ice,cup,crumb_and_nut,NA
ci,crushed ice,cup,spiced_pound,NA
ci,crushed ice,cup,strawberry_roll,NA
ci,crushed ice,cup,savarin,NA
ci,crushed ice,cup,banana_shortcake,NA
ci,crushed ice,cup,strawberry_shortcake,NA
ci,crushed ice,cup,sponge,NA
cs,crumbs,cup,angel,NA
cs,crumbs,cup,babas_au_rhum,NA
cs,crumbs,cup,sweet_chocolate,NA
cs,crumbs,cup,buche_de_noel,NA
cs,crumbs,cup,cheesecake,NA
cs,crumbs,cup,rum_cheesecake,NA
cs,crumbs,cup,blender_cheesecake,0.3
cs,crumbs,cup,one_bowl_chocolate,NA
cs,crumbs,cup,red_devils_food,NA
cs,crumbs,cup,sour_cream_fudge,NA
cs,crumbs,cup,hungarian_cream,NA
cs,crumbs,cup,crumb_and_nut,3
cs,crumbs,cup,spiced_pound,NA
cs,crumbs,cup,strawberry_roll,NA
cs,crumbs,cup,savarin,NA
cs,crumbs,cup,banana_shortcake,NA
cs,crumbs,cup,strawberry_shortcake,NA
cs,crumbs,cup,sponge,NA
ct,cream of tartar,teaspoon,angel,1.25
ct,cream of tartar,teaspoon,babas_au_rhum,NA
ct,cream of tartar,teaspoon,sweet_chocolate,NA
ct,cream of tartar,teaspoon,buche_de_noel,NA
ct,cream of tartar,teaspoon,cheesecake,NA
ct,cream of tartar,teaspoon,rum_cheesecake,NA
ct,cream of tartar,teaspoon,blender_cheesecake,NA
ct,cream of tartar,teaspoon,one_bowl_chocolate,NA
ct,cream of tartar,teaspoon,red_devils_food,NA
