cakes,almond essence_teaspoon,buttermilk_cup,baking powder_teaspoon,butter_cup,bananas_one,cocoa_tablespoon,cottage cheese_pound,chocolate_ounce,crushed ice_cup,crumbs_cup,cream of tartar_teaspoon,dried currants_tablespoon,eggs_one,egg white_one,egg yolk_one,sifted flour_cup,gelatin_tablespoon,heavy cream_cup,lemon juice_tablespoon,lemon rind_teaspoon,milk_cup,nutmeg_teaspoon,nuts_cup,rum_ounce,soda_teaspoon,sour cream _cup,shortening_tablespoon,granulated sugar_cup,strawberries_quart,salt_teaspoon,vanilla extract_teaspoon,water_cup,yeast_ounce,zwiebach_ounce
angel,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25,NA,NA,10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,0.25,1,NA,NA,NA
babas_au_rhum,NA,NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,3,1,NA,2,1.75,NA,NA,NA,0.5,0.25,NA,NA,2,NA,NA,NA,0.25,NA,NA,NA,0.25,0.6,NA
sweet_chocolate,NA,NA,NA,1,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,2.5,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2,NA,0.5,1,0.5,NA,NA
buche_de_noel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,0.5,1,NA,NA,NA
cheesecake,NA,NA,NA,0.25,NA,NA,1.5,NA,NA,NA,NA,NA,6,NA,NA,0.25,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,0.25,NA,NA,NA,6
rum_cheesecake,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,2,NA,NA,NA,2,1,1,1,1,NA,NA,1,NA,NA,NA,1,NA,0.25,NA,NA,NA,NA
blender_cheesecake,NA,NA,NA,NA,NA,NA,0.5,NA,1,0.3,NA,NA,NA,NA,2,NA,1,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.5,NA,NA
one_bowl_chocolate,NA,NA,2,NA,NA,10,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,0.7,NA,NA,NA,0.5,NA,10,1.5,NA,0.25,1,0.5,NA,NA
red_devils_food,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,2,NA,NA,1.75,NA,NA,NA,NA,1,NA,NA,NA,1.25,NA,0.5,1.5,NA,1,1,NA,NA,NA
sour_cream_fudge,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0.3,1.5,NA,1,1,0.25,NA,NA
hungarian_cream,1.5,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,1,2,NA,NA,NA
crumb_and_nut,NA,NA,3,NA,NA,NA,NA,NA,NA,3,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,1,NA,NA,2,NA,NA,NA
spiced_pound,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,2,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,1.7,NA,0.5,NA,NA,NA,NA
strawberry_roll,NA,NA,0.75,NA,NA,NA,0.5,NA,NA,NA,NA,NA,4,NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,1,1,1,NA,NA,NA
savarin,NA,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1.5,NA,NA,NA,1,0.25,NA,NA,NA,NA,NA,NA,0.6,NA,0.5,NA,0.25,1,NA
banana_shortcake,NA,NA,4,0.6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,0.13,NA,0.5,NA,NA,NA,NA
strawberry_shortcake,NA,NA,3,0.12,NA,NA,0.2,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,0.5,NA,NA,NA,NA,1,NA,0.6,1,0.75,NA,NA,NA,NA
sponge,0.5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,NA,0.25,NA,2,NA,NA
